,Unnamed: 0,jersey_num,pts,fga,fga3,fgm,fgm3,fta,ftm,ast,blk,stl,dreb,oreb,reb,pf,tf,tov,mins_played,grade_level,division,jersey_no,height_in,season_y,school,conference,height_ft,conference_id,player_id_y,position,team_code_y
55,55,12,13.0,9.0,3.0,5.0,1.0,4.0,2.0,1.0,0.0,2.0,1.0,3.0,4.0,5.0,0.0,3.0,22.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
56,56,12,13.0,10.0,2.0,6.0,1.0,0.0,0.0,5.0,3.0,4.0,11.0,1.0,12.0,2.0,0.0,2.0,34.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
57,57,12,13.0,7.0,2.0,5.0,1.0,3.0,2.0,4.0,2.0,0.0,6.0,1.0,7.0,3.0,0.0,1.0,26.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
58,58,12,13.0,8.0,1.0,6.0,1.0,0.0,0.0,7.0,0.0,6.0,4.0,2.0,6.0,1.0,0.0,3.0,25.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
59,59,12,14.0,10.0,7.0,4.0,2.0,10.0,4.0,4.0,1.0,1.0,5.0,4.0,9.0,2.0,0.0,1.0,35.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
60,60,12,15.0,11.0,2.0,4.0,1.0,9.0,6.0,3.0,1.0,0.0,5.0,1.0,6.0,3.0,0.0,2.0,36.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
61,61,12,15.0,16.0,4.0,7.0,0.0,2.0,1.0,2.0,1.0,1.0,10.0,1.0,11.0,4.0,0.0,0.0,31.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
62,62,12,15.0,12.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,0.0,3.0,20.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
63,63,12,15.0,6.0,1.0,5.0,1.0,7.0,4.0,3.0,2.0,2.0,7.0,3.0,10.0,3.0,0.0,1.0,36.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
64,64,12,15.0,8.0,4.0,4.0,1.0,9.0,6.0,1.0,0.0,1.0,4.0,0.0,4.0,3.0,0.0,1.0,28.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
65,65,12,15.0,12.0,3.0,7.0,1.0,1.0,0.0,1.0,1.0,2.0,6.0,1.0,7.0,5.0,0.0,2.0,39.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
